"Runner_name","Runner_SexeAge","Runner_Nationality","Runner_Team","Runner_Distance_name","Runner_Distance_Time"
"Geoffrey Kamworor","M26","KEN","Team NIKE","3M","0:14:45"
"Geoffrey Kamworor","M26","KEN","Team NIKE","5K","0:15:16"
"Geoffrey Kamworor","M26","KEN","Team NIKE","4M","0:19:42"
"Geoffrey Kamworor","M26","KEN","Team NIKE","5M","0:24:36"
"Geoffrey Kamworor","M26","KEN","Team NIKE","6M","0:29:30"
"Geoffrey Kamworor","M26","KEN","Team NIKE","10K","0:30:35"
"Geoffrey Kamworor","M26","KEN","Team NIKE","7M","0:34:25"
"Geoffrey Kamworor","M26","KEN","Team NIKE","8M","0:39:14"
"Geoffrey Kamworor","M26","KEN","Team NIKE","9M","0:44:14"
"Geoffrey Kamworor","M26","KEN","Team NIKE","15K","0:45:45"
"Geoffrey Kamworor","M26","KEN","Team NIKE","10M","0:49:10"
"Geoffrey Kamworor","M26","KEN","Team NIKE","11M","0:54:17"
"Geoffrey Kamworor","M26","KEN","Team NIKE","12M","0:59:07"
"Geoffrey Kamworor","M26","KEN","Team NIKE","20K","1:01:20"
"Geoffrey Kamworor","M26","KEN","Team NIKE","13M","1:04:15"
"Geoffrey Kamworor","M26","KEN","Team NIKE","HALF","1:04:50"
"Geoffrey Kamworor","M26","KEN","Team NIKE","14M","1:09:16"
"Geoffrey Kamworor","M26","KEN","Team NIKE","15M","1:14:22"
"Geoffrey Kamworor","M26","KEN","Team NIKE","25K","1:17:07"
"Geoffrey Kamworor","M26","KEN","Team NIKE","16M","1:19:17"
"Geoffrey Kamworor","M26","KEN","Team NIKE","17M","1:24:16"
"Geoffrey Kamworor","M26","KEN","Team NIKE","18M","1:29:10"
"Geoffrey Kamworor","M26","KEN","Team NIKE","30K","1:32:25"
"Geoffrey Kamworor","M26","KEN","Team NIKE","19M","1:34:12"
"Geoffrey Kamworor","M26","KEN","Team NIKE","20M","1:38:59"
"Geoffrey Kamworor","M26","KEN","Team NIKE","21M","1:44:07"
"Geoffrey Kamworor","M26","KEN","Team NIKE","35K","1:47:34"
"Geoffrey Kamworor","M26","KEN","Team NIKE","22M","1:48:44"
"Geoffrey Kamworor","M26","KEN","Team NIKE","23M","1:53:20"
"Geoffrey Kamworor","M26","KEN","Team NIKE","24M","1:57:59"
"Geoffrey Kamworor","M26","KEN","Team NIKE","40K","2:01:48"
"Geoffrey Kamworor","M26","KEN","Team NIKE","25M","2:02:30"
"Geoffrey Kamworor","M26","KEN","Team NIKE","26M","2:07:11"
"Geoffrey Kamworor","M26","KEN","Team NIKE","MAR","2:08:13"
"Albert Korir","M25","KEN","Team NIKE","3M","0:14:45"
"Albert Korir","M25","KEN","Team NIKE","5K","0:15:16"
"Albert Korir","M25","KEN","Team NIKE","4M","0:19:42"
"Albert Korir","M25","KEN","Team NIKE","5M","0:24:36"
"Albert Korir","M25","KEN","Team NIKE","6M","0:29:30"
"Albert Korir","M25","KEN","Team NIKE","10K","0:30:35"
"Albert Korir","M25","KEN","Team NIKE","7M","0:34:25"
"Albert Korir","M25","KEN","Team NIKE","8M","0:39:14"
"Albert Korir","M25","KEN","Team NIKE","9M","0:44:14"
"Albert Korir","M25","KEN","Team NIKE","15K","0:45:45"
"Albert Korir","M25","KEN","Team NIKE","10M","0:49:10"
"Albert Korir","M25","KEN","Team NIKE","11M","0:54:17"
"Albert Korir","M25","KEN","Team NIKE","12M","0:59:07"
"Albert Korir","M25","KEN","Team NIKE","20K","1:01:20"
"Albert Korir","M25","KEN","Team NIKE","13M","1:04:15"
"Albert Korir","M25","KEN","Team NIKE","HALF","1:04:50"
"Albert Korir","M25","KEN","Team NIKE","14M","1:09:16"
"Albert Korir","M25","KEN","Team NIKE","15M","1:14:22"
"Albert Korir","M25","KEN","Team NIKE","25K","1:17:07"
"Albert Korir","M25","KEN","Team NIKE","16M","1:19:17"
"Albert Korir","M25","KEN","Team NIKE","17M","1:24:16"
"Albert Korir","M25","KEN","Team NIKE","18M","1:29:10"
"Albert Korir","M25","KEN","Team NIKE","30K","1:32:25"
"Albert Korir","M25","KEN","Team NIKE","19M","1:34:12"
"Albert Korir","M25","KEN","Team NIKE","20M","1:38:59"
"Albert Korir","M25","KEN","Team NIKE","21M","1:44:07"
"Albert Korir","M25","KEN","Team NIKE","35K","1:47:34"
"Albert Korir","M25","KEN","Team NIKE","22M","1:48:44"
"Albert Korir","M25","KEN","Team NIKE","23M","1:53:20"
"Albert Korir","M25","KEN","Team NIKE","24M","1:57:59"
"Albert Korir","M25","KEN","Team NIKE","40K","2:01:48"
"Albert Korir","M25","KEN","Team NIKE","25M","2:02:30"
"Albert Korir","M25","KEN","Team NIKE","26M","2:07:11"
"Albert Korir","M25","KEN","Team NIKE","MAR","2:08:13"
"Girma Bekele Gebre","M26","ETH","Team NIKE","3M","0:14:45"
"Girma Bekele Gebre","M26","ETH","Team NIKE","5K","0:15:16"
"Girma Bekele Gebre","M26","ETH","Team NIKE","4M","0:19:42"
"Girma Bekele Gebre","M26","ETH","Team NIKE","5M","0:24:36"
"Girma Bekele Gebre","M26","ETH","Team NIKE","6M","0:29:30"
"Girma Bekele Gebre","M26","ETH","Team NIKE","10K","0:30:35"
"Girma Bekele Gebre","M26","ETH","Team NIKE","7M","0:34:25"
"Girma Bekele Gebre","M26","ETH","Team NIKE","8M","0:39:14"
"Girma Bekele Gebre","M26","ETH","Team NIKE","9M","0:44:14"
"Girma Bekele Gebre","M26","ETH","Team NIKE","15K","0:45:45"
"Girma Bekele Gebre","M26","ETH","Team NIKE","10M","0:49:10"
"Girma Bekele Gebre","M26","ETH","Team NIKE","11M","0:54:17"
"Girma Bekele Gebre","M26","ETH","Team NIKE","12M","0:59:07"
"Girma Bekele Gebre","M26","ETH","Team NIKE","20K","1:01:20"
"Girma Bekele Gebre","M26","ETH","Team NIKE","13M","1:04:15"
"Girma Bekele Gebre","M26","ETH","Team NIKE","HALF","1:04:50"
"Girma Bekele Gebre","M26","ETH","Team NIKE","14M","1:09:16"
"Girma Bekele Gebre","M26","ETH","Team NIKE","15M","1:14:22"
"Girma Bekele Gebre","M26","ETH","Team NIKE","25K","1:17:07"
"Girma Bekele Gebre","M26","ETH","Team NIKE","16M","1:19:17"
"Girma Bekele Gebre","M26","ETH","Team NIKE","17M","1:24:16"
"Girma Bekele Gebre","M26","ETH","Team NIKE","18M","1:29:10"
"Girma Bekele Gebre","M26","ETH","Team NIKE","30K","1:32:25"
"Girma Bekele Gebre","M26","ETH","Team NIKE","19M","1:34:12"
"Girma Bekele Gebre","M26","ETH","Team NIKE","20M","1:38:59"
"Girma Bekele Gebre","M26","ETH","Team NIKE","21M","1:44:07"
"Girma Bekele Gebre","M26","ETH","Team NIKE","35K","1:47:34"
"Girma Bekele Gebre","M26","ETH","Team NIKE","22M","1:48:44"
"Girma Bekele Gebre","M26","ETH","Team NIKE","23M","1:53:20"
"Girma Bekele Gebre","M26","ETH","Team NIKE","24M","1:57:59"
"Girma Bekele Gebre","M26","ETH","Team NIKE","40K","2:01:48"
"Girma Bekele Gebre","M26","ETH","Team NIKE","25M","2:02:30"
"Girma Bekele Gebre","M26","ETH","Team NIKE","26M","2:07:11"
"Girma Bekele Gebre","M26","ETH","Team NIKE","MAR","2:08:13"
"Tamirat Tola","M28","ETH","Team NIKE","3M","0:14:45"
"Tamirat Tola","M28","ETH","Team NIKE","5K","0:15:16"
"Tamirat Tola","M28","ETH","Team NIKE","4M","0:19:42"
